,Departure code,Departure port,Departure terminal,Arrival code,Arrival port,Arrival terminal,Departure time,Arrival time,Transit time,Service name,CO2 footprint,Vessel name,Voyage no.,Vessel build year,Vessel flag,Vessel imo code
0,NLRTM,,,BRSSZ,,,,,,,,,,,,
1,NLRTM,,,BRSSZ,,,,,,,,,,,,
2,NLRTM,SANTOS,BRASIL TERMINAL PORTUARIO S/A,BRSSZ,ROTTERDAM,ECT DELTA MARINE TERMINAL (DMT),Fri 28th Oct 2022 02:30,Wed 16th Nov 2022 09:30,19 days,NWC TO SAEC - STRING I,0.7926 Tons,MEHUIN,NA242R,2011,LIBERIA,9400100
3,NLRTM,SANTOS,BRASIL TERMINAL PORTUARIO S/A,BRSSZ,ROTTERDAM,ECT DELTA MARINE TERMINAL (DMT),Fri 4th Nov 2022 08:00,Wed 23rd Nov 2022 15:00,19 days,NWC TO SAEC - STRING I,0.7926 Tons,MSC SOFIA CELESTE,NA243R,2015,PORTUGAL,9702091
4,NLRTM,SANTOS,BRASIL TERMINAL PORTUARIO S/A,BRSSZ,ROTTERDAM,ECT DELTA MARINE TERMINAL (DMT),Sun 13th Nov 2022 01:00,Wed 30th Nov 2022 15:00,17 days,NWC TO SAEC - STRING I,0.7926 Tons,CZECH,NA244R,2015,MALTA,9723241
5,NLRTM,SANTOS,BRASIL TERMINAL PORTUARIO S/A,BRSSZ,ROTTERDAM,ECT DELTA MARINE TERMINAL (DMT),Fri 18th Nov 2022 08:00,Wed 7th Dec 2022 15:00,19 days,NWC TO SAEC - STRING I,0.7926 Tons,MSC ATHENS,NA245R,2013,MALTA,9618305
6,NLRTM,SANTOS,BRASIL TERMINAL PORTUARIO S/A,BRSSZ,ROTTERDAM,ECT DELTA MARINE TERMINAL (DMT),Fri 25th Nov 2022 08:00,Wed 14th Dec 2022 15:00,19 days,NWC TO SAEC - STRING I,0.7926 Tons,MSC PALAK,NA246R,2016,PORTUGAL,9735206
7,NLRTM,SANTOS,BRASIL TERMINAL PORTUARIO S/A,BRSSZ,ROTTERDAM,ECT DELTA MARINE TERMINAL (DMT),Fri 2nd Dec 2022 08:00,Wed 21st Dec 2022 15:00,19 days,NWC TO SAEC - STRING I,0.7926 Tons,HUNGARY,NA247R,2015,MALTA,9723253
8,NLRTM,SANTOS,BRASIL TERMINAL PORTUARIO S/A,BRSSZ,ROTTERDAM,ECT DELTA MARINE TERMINAL (DMT),Fri 9th Dec 2022 08:00,Wed 28th Dec 2022 15:00,19 days,NWC TO SAEC - STRING I,0.7926 Tons,MSC CATERINA,NA248R,2015,PORTUGAL,9705005
9,BEANR,,,BRSSZ,,,,,,,,,,,,
10,BEANR,,,BRSSZ,,,,,,,,,,,,
11,BEANR,SANTOS,BRASIL TERMINAL PORTUARIO S/A,BRSSZ,ANTWERP,MPET K1742 DEURGANCK TERMINAL,Fri 28th Oct 2022 02:30,Thu 24th Nov 2022 00:30,27 days,NWC TO SAEC - STRING I,0.8793 Tons,MEHUIN,NA242R,2011,LIBERIA,9400100
12,BEANR,SANTOS,BRASIL TERMINAL PORTUARIO S/A,BRSSZ,ANTWERP,MPET K1742 DEURGANCK TERMINAL,Fri 4th Nov 2022 08:00,Fri 2nd Dec 2022 14:00,28 days,NWC TO SAEC - STRING I,0.8793 Tons,MSC SOFIA CELESTE,NA243R,2015,PORTUGAL,9702091
13,BEANR,SANTOS,BRASIL TERMINAL PORTUARIO S/A,BRSSZ,ANTWERP,MPET K1742 DEURGANCK TERMINAL,Sun 13th Nov 2022 01:00,Fri 9th Dec 2022 14:00,26 days,NWC TO SAEC - STRING I,0.8793 Tons,CZECH,NA244R,2015,MALTA,9723241
14,BEANR,SANTOS,BRASIL TERMINAL PORTUARIO S/A,BRSSZ,ANTWERP,MPET K1742 DEURGANCK TERMINAL,Fri 18th Nov 2022 08:00,Fri 16th Dec 2022 14:00,28 days,NWC TO SAEC - STRING I,0.8793 Tons,MSC ATHENS,NA245R,2013,MALTA,9618305
15,BEANR,SANTOS,BRASIL TERMINAL PORTUARIO S/A,BRSSZ,ANTWERP,MPET K1742 DEURGANCK TERMINAL,Fri 25th Nov 2022 08:00,Fri 23rd Dec 2022 14:00,28 days,NWC TO SAEC - STRING I,0.8793 Tons,MSC PALAK,NA246R,2016,PORTUGAL,9735206
16,BEANR,SANTOS,BRASIL TERMINAL PORTUARIO S/A,BRSSZ,ANTWERP,MPET K1742 DEURGANCK TERMINAL,Fri 2nd Dec 2022 08:00,Fri 30th Dec 2022 14:00,28 days,NWC TO SAEC - STRING I,0.8793 Tons,HUNGARY,NA247R,2015,MALTA,9723253
17,BEANR,SANTOS,BRASIL TERMINAL PORTUARIO S/A,BRSSZ,ANTWERP,MPET K1742 DEURGANCK TERMINAL,Fri 9th Dec 2022 08:00,Fri 6th Jan 2023 14:00,28 days,NWC TO SAEC - STRING I,0.8793 Tons,MSC CATERINA,NA248R,2015,PORTUGAL,9705005
18,NLAMS,,,BRSSZ,,,,,,,,,,,,
19,NLAMS,,,BRSSZ,,,,,,,,,,,,
20,NLAMS,,,BRSSZ,,,,,23 days,,0.8034 Tons,,,,,
21,NLAMS,,,BRSSZ,,,,,23 days,,0.8034 Tons,,,,,
22,NLAMS,,,BRSSZ,,,,,21 days,,0.8034 Tons,,,,,
23,NLAMS,,,BRSSZ,,,,,23 days,,0.8034 Tons,,,,,
24,NLAMS,,,BRSSZ,,,,,23 days,,0.8034 Tons,,,,,
25,NLAMS,,,BRSSZ,,,,,23 days,,0.8034 Tons,,,,,
26,NLAMS,,,BRSSZ,,,,,23 days,,0.8034 Tons,,,,,
27,NLRTM,,,BRPEC,,,,,,,,,,,,
28,NLRTM,,,BRPEC,,,,,,,,,,,,
29,NLRTM,PECEM,APM TERMINALS PECEM,BRPEC,ROTTERDAM,ECT DELTA MARINE TERMINAL (DMT),Sat 29th Oct 2022 19:15,Thu 10th Nov 2022 09:15,12 days,NWC TO SAEC - STRING I,0.5447 Tons,MSC MICHELA,NA241R,2016,PORTUGAL,9720512
30,NLRTM,PECEM,APM TERMINALS PECEM,BRPEC,ROTTERDAM,ECT DELTA MARINE TERMINAL (DMT),Fri 4th Nov 2022 16:30,Wed 16th Nov 2022 06:30,12 days,NWC TO SAEC - STRING I,0.5447 Tons,MEHUIN,NA242R,2011,LIBERIA,9400100
31,NLRTM,PECEM,APM TERMINALS PECEM,BRPEC,ROTTERDAM,ECT DELTA MARINE TERMINAL (DMT),Sat 12th Nov 2022 01:00,Wed 23rd Nov 2022 15:00,11 days,NWC TO SAEC - STRING I,0.5447 Tons,MSC SOFIA CELESTE,NA243R,2015,PORTUGAL,9702091
32,NLRTM,PECEM,APM TERMINALS PECEM,BRPEC,ROTTERDAM,ECT DELTA MARINE TERMINAL (DMT),Sat 19th Nov 2022 01:00,Wed 30th Nov 2022 15:00,11 days,NWC TO SAEC - STRING I,0.5447 Tons,CZECH,NA244R,2015,MALTA,9723241
33,NLRTM,PECEM,APM TERMINALS PECEM,BRPEC,ROTTERDAM,ECT DELTA MARINE TERMINAL (DMT),Sat 26th Nov 2022 01:00,Wed 7th Dec 2022 15:00,11 days,NWC TO SAEC - STRING I,0.5447 Tons,MSC ATHENS,NA245R,2013,MALTA,9618305
34,NLRTM,PECEM,APM TERMINALS PECEM,BRPEC,ROTTERDAM,ECT DELTA MARINE TERMINAL (DMT),Sat 3rd Dec 2022 01:00,Wed 14th Dec 2022 15:00,11 days,NWC TO SAEC - STRING I,0.5447 Tons,MSC PALAK,NA246R,2016,PORTUGAL,9735206
